R;ADC;T
1519.12;551;174.75;
1519.12;551;174.75;
1516.37;550;174.39;
1521.88;552;175.10;
1519.12;551;174.75;
1527.39;554;175.81;
1524.64;553;175.46;
1530.15;555;176.16;
1521.88;552;175.10;
1521.88;552;175.10;
1527.39;554;175.81;
1524.64;553;175.46;
1521.88;552;175.10;
1521.88;552;175.10;
1524.64;553;175.46;
1527.39;554;175.81;
1524.64;553;175.46;
1527.39;554;175.81;
1527.39;554;175.81;
1527.39;554;175.81;
1532.91;556;176.52;
1524.64;553;175.46;
1530.15;555;176.16;
1532.91;556;176.52;
1527.39;554;175.81;
1527.39;554;175.81;
1532.91;556;176.52;
1524.64;553;175.46;
1527.39;554;175.81;
1530.15;555;176.16;
1530.15;555;176.16;
1535.67;557;176.87;
1527.39;554;175.81;
1530.15;555;176.16;
1532.91;556;176.52;
1532.91;556;176.52;
1538.42;558;177.22;
1535.67;557;176.87;
1532.91;556;176.52;
1541.18;559;177.58;
1535.67;557;176.87;
1535.67;557;176.87;
1535.67;557;176.87;
1532.91;556;176.52;
1541.18;559;177.58;
1535.67;557;176.87;
1535.67;557;176.87;
1541.18;559;177.58;
1535.67;557;176.87;
1538.42;558;177.22;
1543.94;560;177.93;
1535.67;557;176.87;
1543.94;560;177.93;
1541.18;559;177.58;
1538.42;558;177.22;
1541.18;559;177.58;
1535.67;557;176.87;
1532.91;556;176.52;
1532.91;556;176.52;
1538.42;558;177.22;
1543.94;560;177.93;
1538.42;558;177.22;
1538.42;558;177.22;
1538.42;558;177.22;
1541.18;559;177.58;
1546.69;561;178.28;
1538.42;558;177.22;
1538.42;558;177.22;
1538.42;558;177.22;
1535.67;557;176.87;
1541.18;559;177.58;
1543.94;560;177.93;
1538.42;558;177.22;
1541.18;559;177.58;
1535.67;557;176.87;
1538.42;558;177.22;
1546.69;561;178.28;
1535.67;557;176.87;
1541.18;559;177.58;
1543.94;560;177.93;
1538.42;558;177.22;
1549.45;562;178.63;
1541.18;559;177.58;
1541.18;559;177.58;
1549.45;562;178.63;
1541.18;559;177.58;
1541.18;559;177.58;
1543.94;560;177.93;
1543.94;560;177.93;
1546.69;561;178.28;
1543.94;560;177.93;
1543.94;560;177.93;
1549.45;562;178.63;
1541.18;559;177.58;
1538.42;558;177.22;
1546.69;561;178.28;
1543.94;560;177.93;
1543.94;560;177.93;
1543.94;560;177.93;
1541.18;559;177.58;
1549.45;562;178.63;
1546.69;561;178.28;
1546.69;561;178.28;
1546.69;561;178.28;
1546.69;561;178.28;
1554.97;564;179.33;
1549.45;562;178.63;
1549.45;562;178.63;
1560.48;566;180.03;
1552.21;563;178.98;
1552.21;563;178.98;
1560.48;566;180.03;
1554.97;564;179.33;
1552.21;563;178.98;
1554.97;564;179.33;
1554.97;564;179.33;
1560.48;566;180.03;
1554.97;564;179.33;
1554.97;564;179.33;
1554.97;564;179.33;
1554.97;564;179.33;
1560.48;566;180.03;
1557.72;565;179.68;
1557.72;565;179.68;
1563.24;567;180.38;
1554.97;564;179.33;
1554.97;564;179.33;
1560.48;566;180.03;
1560.48;566;180.03;
1560.48;566;180.03;
1554.97;564;179.33;
1557.72;565;179.68;
1560.48;566;180.03;
1557.72;565;179.68;
1560.48;566;180.03;
1563.24;567;180.38;
1560.48;566;180.03;
1563.24;567;180.38;
1557.72;565;179.68;
1560.48;566;180.03;
1565.99;568;180.73;
1560.48;566;180.03;
1560.48;566;180.03;
1560.48;566;180.03;
1560.48;566;180.03;
1568.75;569;181.08;
1560.48;566;180.03;
1565.99;568;180.73;
1560.48;566;180.03;
1563.24;567;180.38;
1568.75;569;181.08;
1563.24;567;180.38;
1563.24;567;180.38;
1563.24;567;180.38;
1563.24;567;180.38;
1563.24;567;180.38;
1571.51;570;181.43;
1565.99;568;180.73;
1565.99;568;180.73;
1563.24;567;180.38;
1563.24;567;180.38;
1568.75;569;181.08;
1563.24;567;180.38;
1568.75;569;181.08;
1568.75;569;181.08;
1563.24;567;180.38;
1571.51;570;181.43;
1565.99;568;180.73;
1565.99;568;180.73;
1577.02;572;182.13;
1568.75;569;181.08;
1571.51;570;181.43;
1574.26;571;181.78;
1571.51;570;181.43;
1571.51;570;181.43;
1574.26;571;181.78;
1571.51;570;181.43;
1582.54;574;182.82;
1571.51;570;181.43;
1574.26;571;181.78;
1582.54;574;182.82;
1574.26;571;181.78;
1579.78;573;182.48;
1577.02;572;182.13;
1577.02;572;182.13;
1585.29;575;183.17;
1582.54;574;182.82;
1577.02;572;182.13;
1579.78;573;182.48;
1577.02;572;182.13;
1585.29;575;183.17;
1579.78;573;182.48;
1579.78;573;182.48;
1577.02;572;182.13;
1582.54;574;182.82;
1579.78;573;182.48;
1585.29;575;183.17;
1579.78;573;182.48;
1574.26;571;181.78;
1579.78;573;182.48;
1579.78;573;182.48;
1582.54;574;182.82;
1577.02;572;182.13;
1577.02;572;182.13;
1577.02;572;182.13;
1582.54;574;182.82;
1585.29;575;183.17;
1579.78;573;182.48;
1582.54;574;182.82;
1582.54;574;182.82;
1582.54;574;182.82;
1588.05;576;183.52;
1577.02;572;182.13;
1579.78;573;182.48;
1585.29;575;183.17;
1579.78;573;182.48;
1582.54;574;182.82;
1585.29;575;183.17;
1579.78;573;182.48;
1582.54;574;182.82;
1579.78;573;182.48;
1582.54;574;182.82;
1590.81;577;183.86;
1577.02;572;182.13;
1582.54;574;182.82;
1585.29;575;183.17;
1579.78;573;182.48;
1588.05;576;183.52;
1579.78;573;182.48;
1579.78;573;182.48;
1590.81;577;183.86;
1579.78;573;182.48;
1582.54;574;182.82;
1582.54;574;182.82;
1579.78;573;182.48;
1590.81;577;183.86;
1585.29;575;183.17;
1579.78;573;182.48;
1590.81;577;183.86;
1579.78;573;182.48;
1582.54;574;182.82;
1588.05;576;183.52;
1582.54;574;182.82;
1585.29;575;183.17;
1585.29;575;183.17;
1585.29;575;183.17;
1593.56;578;184.21;
1590.81;577;183.86;
1585.29;575;183.17;
1590.81;577;183.86;
1590.81;577;183.86;
1593.56;578;184.21;
1590.81;577;183.86;
1588.05;576;183.52;
1596.32;579;184.56;
1590.81;577;183.86;
1596.32;579;184.56;
1593.56;578;184.21;
1590.81;577;183.86;
1588.05;576;183.52;
1593.56;578;184.21;
1588.05;576;183.52;
1593.56;578;184.21;
1588.05;576;183.52;
1588.05;576;183.52;
1596.32;579;184.56;
1590.81;577;183.86;
1593.56;578;184.21;
1590.81;577;183.86;
1593.56;578;184.21;
1593.56;578;184.21;
1590.81;577;183.86;
1588.05;576;183.52;
1588.05;576;183.52;
1588.05;576;183.52;
1590.81;577;183.86;
1585.29;575;183.17;
1590.81;577;183.86;
1588.05;576;183.52;
1590.81;577;183.86;
1590.81;577;183.86;
1599.08;580;184.90;
1593.56;578;184.21;
1590.81;577;183.86;
1590.81;577;183.86;
1593.56;578;184.21;
1599.08;580;184.90;
1590.81;577;183.86;
1593.56;578;184.21;
1593.56;578;184.21;
1596.32;579;184.56;
1604.59;582;185.59;
1596.32;579;184.56;
1596.32;579;184.56;
1596.32;579;184.56;
1593.56;578;184.21;
1601.83;581;185.25;
1593.56;578;184.21;
1593.56;578;184.21;
1601.83;581;185.25;
1596.32;579;184.56;
1599.08;580;184.90;
1607.35;583;185.94;
1599.08;580;184.90;
1601.83;581;185.25;
1601.83;581;185.25;
1599.08;580;184.90;
1604.59;582;185.59;
1599.08;580;184.90;
1599.08;580;184.90;
1604.59;582;185.59;
1599.08;580;184.90;
1604.59;582;185.59;
1601.83;581;185.25;
1599.08;580;184.90;
1607.35;583;185.94;
1604.59;582;185.59;
1601.83;581;185.25;
1601.83;581;185.25;
1599.08;580;184.90;
1607.35;583;185.94;
1599.08;580;184.90;
1599.08;580;184.90;
1604.59;582;185.59;
1599.08;580;184.90;
1596.32;579;184.56;
1604.59;582;185.59;
1599.08;580;184.90;
1601.83;581;185.25;
1601.83;581;185.25;
1596.32;579;184.56;
1601.83;581;185.25;
1599.08;580;184.90;
1596.32;579;184.56;
1596.32;579;184.56;
1599.08;580;184.90;
1604.59;582;185.59;
1601.83;581;185.25;
1601.83;581;185.25;
1610.11;584;186.28;
1607.35;583;185.94;
1604.59;582;185.59;
1607.35;583;185.94;
1607.35;583;185.94;
1604.59;582;185.59;
1610.11;584;186.28;
1607.35;583;185.94;
1610.11;584;186.28;
1607.35;583;185.94;
1604.59;582;185.59;
1612.86;585;186.63;
1607.35;583;185.94;
1610.11;584;186.28;
1604.59;582;185.59;
1604.59;582;185.59;
1610.11;584;186.28;
1607.35;583;185.94;
1604.59;582;185.59;
1607.35;583;185.94;
1610.11;584;186.28;
1615.62;586;186.97;
1607.35;583;185.94;
1610.11;584;186.28;
1607.35;583;185.94;
1607.35;583;185.94;
1610.11;584;186.28;
1615.62;586;186.97;
1612.86;585;186.63;
1610.11;584;186.28;
1610.11;584;186.28;
1610.11;584;186.28;
1615.62;586;186.97;
1610.11;584;186.28;
1612.86;585;186.63;
1610.11;584;186.28;
1612.86;585;186.63;
1618.38;587;187.31;
1607.35;583;185.94;
1612.86;585;186.63;
1612.86;585;186.63;
1610.11;584;186.28;
1618.38;587;187.31;
1610.11;584;186.28;
1612.86;585;186.63;
1618.38;587;187.31;
1612.86;585;186.63;
1615.62;586;186.97;
1621.13;588;187.66;
1615.62;586;186.97;
1615.62;586;186.97;
1618.38;587;187.31;
1615.62;586;186.97;
1623.89;589;188.00;
1615.62;586;186.97;
1615.62;586;186.97;
1621.13;588;187.66;
1615.62;586;186.97;
1621.13;588;187.66;
1618.38;587;187.31;
1615.62;586;186.97;
1623.89;589;188.00;
1618.38;587;187.31;
1615.62;586;186.97;
1618.38;587;187.31;
1615.62;586;186.97;
1623.89;589;188.00;
1618.38;587;187.31;
1621.13;588;187.66;
1626.65;590;188.34;
1623.89;589;188.00;
1621.13;588;187.66;
1626.65;590;188.34;
1623.89;589;188.00;
1621.13;588;187.66;
1621.13;588;187.66;
1621.13;588;187.66;
1629.40;591;188.69;
1623.89;589;188.00;
1621.13;588;187.66;
1621.13;588;187.66;
1623.89;589;188.00;
1629.40;591;188.69;
1626.65;590;188.34;
1623.89;589;188.00;
1626.65;590;188.34;
1621.13;588;187.66;
1626.65;590;188.34;
1618.38;587;187.31;
1623.89;589;188.00;
1621.13;588;187.66;
1623.89;589;188.00;
1623.89;589;188.00;
1629.40;591;188.69;
1626.65;590;188.34;
1626.65;590;188.34;
1626.65;590;188.34;
1623.89;589;188.00;
1632.16;592;189.03;
1621.13;588;187.66;
1623.89;589;188.00;
1629.40;591;188.69;
1621.13;588;187.66;
1626.65;590;188.34;
1626.65;590;188.34;
1626.65;590;188.34;
1629.40;591;188.69;
1626.65;590;188.34;
1623.89;589;188.00;
1623.89;589;188.00;
1618.38;587;187.31;
1621.13;588;187.66;
1629.40;591;188.69;
1623.89;589;188.00;
1623.89;589;188.00;
1623.89;589;188.00;
1621.13;588;187.66;
1629.40;591;188.69;
1626.65;590;188.34;
1623.89;589;188.00;
1623.89;589;188.00;
1621.13;588;187.66;
1626.65;590;188.34;
1626.65;590;188.34;
1621.13;588;187.66;
1632.16;592;189.03;
1626.65;590;188.34;
1632.16;592;189.03;
1626.65;590;188.34;
1626.65;590;188.34;
1629.40;591;188.69;
1626.65;590;188.34;
1623.89;589;188.00;
1629.40;591;188.69;
1629.40;591;188.69;
1623.89;589;188.00;
1623.89;589;188.00;
1626.65;590;188.34;
1632.16;592;189.03;
1626.65;590;188.34;
1626.65;590;188.34;
1632.16;592;189.03;
1626.65;590;188.34;
1632.16;592;189.03;
1626.65;590;188.34;
1626.65;590;188.34;
1632.16;592;189.03;
1623.89;589;188.00;
1629.40;591;188.69;
1626.65;590;188.34;
1629.40;591;188.69;
1634.92;593;189.37;
1626.65;590;188.34;
1629.40;591;188.69;
1634.92;593;189.37;
1629.40;591;188.69;
1632.16;592;189.03;
1634.92;593;189.37;
1629.40;591;188.69;
1634.92;593;189.37;
1629.40;591;188.69;
1634.92;593;189.37;
1640.43;595;190.05;
1632.16;592;189.03;
1637.68;594;189.71;
1637.68;594;189.71;
1632.16;592;189.03;
1640.43;595;190.05;
1632.16;592;189.03;
1632.16;592;189.03;
1637.68;594;189.71;
1629.40;591;188.69;
1632.16;592;189.03;
1634.92;593;189.37;
1629.40;591;188.69;
1634.92;593;189.37;
1634.92;593;189.37;
1634.92;593;189.37;
1640.43;595;190.05;
1632.16;592;189.03;
1634.92;593;189.37;
1640.43;595;190.05;
1632.16;592;189.03;
1640.43;595;190.05;
1634.92;593;189.37;
1634.92;593;189.37;
1643.19;596;190.39;
1637.68;594;189.71;
1637.68;594;189.71;
1637.68;594;189.71;
1637.68;594;189.71;
1640.43;595;190.05;
1637.68;594;189.71;
1634.92;593;189.37;
1637.68;594;189.71;
1637.68;594;189.71;
1634.92;593;189.37;
1640.43;595;190.05;
1634.92;593;189.37;
1643.19;596;190.39;
1640.43;595;190.05;
1637.68;594;189.71;
1648.70;598;191.08;
1640.43;595;190.05;
1637.68;594;189.71;
1640.43;595;190.05;
1637.68;594;189.71;
1645.95;597;190.74;
1640.43;595;190.05;
1637.68;594;189.71;
1643.19;596;190.39;
1643.19;596;190.39;
1648.70;598;191.08;
1645.95;597;190.74;
1643.19;596;190.39;
1648.70;598;191.08;
1643.19;596;190.39;
1640.43;595;190.05;
1645.95;597;190.74;
1640.43;595;190.05;
1640.43;595;190.05;
1640.43;595;190.05;
1640.43;595;190.05;
1648.70;598;191.08;
1643.19;596;190.39;
1640.43;595;190.05;
1648.70;598;191.08;
1643.19;596;190.39;
1645.95;597;190.74;
1643.19;596;190.39;
1640.43;595;190.05;
1648.70;598;191.08;
1643.19;596;190.39;
1640.43;595;190.05;
1640.43;595;190.05;
1637.68;594;189.71;
1645.95;597;190.74;
1640.43;595;190.05;
1640.43;595;190.05;
1643.19;596;190.39;
1637.68;594;189.71;
1634.92;593;189.37;
1645.95;597;190.74;
1637.68;594;189.71;
1637.68;594;189.71;
1643.19;596;190.39;
1640.43;595;190.05;
1645.95;597;190.74;
1640.43;595;190.05;
1637.68;594;189.71;
1640.43;595;190.05;
1637.68;594;189.71;
1645.95;597;190.74;
1640.43;595;190.05;
1640.43;595;190.05;
1637.68;594;189.71;
1643.19;596;190.39;
1648.70;598;191.08;
1645.95;597;190.74;
1643.19;596;190.39;
1645.95;597;190.74;
1645.95;597;190.74;
1643.19;596;190.39;
1651.46;599;191.42;
1645.95;597;190.74;
1643.19;596;190.39;
1645.95;597;190.74;
1643.19;596;190.39;
1648.70;598;191.08;
1645.95;597;190.74;
1643.19;596;190.39;
1651.46;599;191.42;
1645.95;597;190.74;
1648.70;598;191.08;
1645.95;597;190.74;
1648.70;598;191.08;
1651.46;599;191.42;
1645.95;597;190.74;
1643.19;596;190.39;
1643.19;596;190.39;
1640.43;595;190.05;
1643.19;596;190.39;
1643.19;596;190.39;
1643.19;596;190.39;
1648.70;598;191.08;
1648.70;598;191.08;
1643.19;596;190.39;
1651.46;599;191.42;
1645.95;597;190.74;
1643.19;596;190.39;
1648.70;598;191.08;
1645.95;597;190.74;
1651.46;599;191.42;
1648.70;598;191.08;
1645.95;597;190.74;
1645.95;597;190.74;
1648.70;598;191.08;
1654.22;600;191.76;
1648.70;598;191.08;
1645.95;597;190.74;
1645.95;597;190.74;
1645.95;597;190.74;
1645.95;597;190.74;
1651.46;599;191.42;
1648.70;598;191.08;
1645.95;597;190.74;
1651.46;599;191.42;
1648.70;598;191.08;
1654.22;600;191.76;
1648.70;598;191.08;
1645.95;597;190.74;
1645.95;597;190.74;
1651.46;599;191.42;
1654.22;600;191.76;
1651.46;599;191.42;
1648.70;598;191.08;
1656.98;601;192.10;
1651.46;599;191.42;
1654.22;600;191.76;
1651.46;599;191.42;
1651.46;599;191.42;
1654.22;600;191.76;
1651.46;599;191.42;
1648.70;598;191.08;
1654.22;600;191.76;
1648.70;598;191.08;
1648.70;598;191.08;
1648.70;598;191.08;
1651.46;599;191.42;
1654.22;600;191.76;
1651.46;599;191.42;
1651.46;599;191.42;
1656.98;601;192.10;
1651.46;599;191.42;
1645.95;597;190.74;
1651.46;599;191.42;
1651.46;599;191.42;
1656.98;601;192.10;
1651.46;599;191.42;
1651.46;599;191.42;
1654.22;600;191.76;
1654.22;600;191.76;
1659.73;602;192.44;
1654.22;600;191.76;
1654.22;600;191.76;
1659.73;602;192.44;
1656.98;601;192.10;
1656.98;601;192.10;
1659.73;602;192.44;
1656.98;601;192.10;
1654.22;600;191.76;
1654.22;600;191.76;
1656.98;601;192.10;
1659.73;602;192.44;
1651.46;599;191.42;
1656.98;601;192.10;
1654.22;600;191.76;
1656.98;601;192.10;
1662.49;603;192.78;
1654.22;600;191.76;
1654.22;600;191.76;
1659.73;602;192.44;
1651.46;599;191.42;
1662.49;603;192.78;
1651.46;599;191.42;
1654.22;600;191.76;
1654.22;600;191.76;
1651.46;599;191.42;
1656.98;601;192.10;
1659.73;602;192.44;
1654.22;600;191.76;
1654.22;600;191.76;
1656.98;601;192.10;
1654.22;600;191.76;
1662.49;603;192.78;
1651.46;599;191.42;
1651.46;599;191.42;
1656.98;601;192.10;
1651.46;599;191.42;
1654.22;600;191.76;
1651.46;599;191.42;
1651.46;599;191.42;
1656.98;601;192.10;
1651.46;599;191.42;
1651.46;599;191.42;
1654.22;600;191.76;
1651.46;599;191.42;
1656.98;601;192.10;
1659.73;602;192.44;
1654.22;600;191.76;
1656.98;601;192.10;
1654.22;600;191.76;
1656.98;601;192.10;
1668.00;605;193.45;
1656.98;601;192.10;
1662.49;603;192.78;
1662.49;603;192.78;
1659.73;602;192.44;
1668.00;605;193.45;
1659.73;602;192.44;
1659.73;602;192.44;
1662.49;603;192.78;
1659.73;602;192.44;
1665.25;604;193.11;
1662.49;603;192.78;
1662.49;603;192.78;
1670.76;606;193.79;
1665.25;604;193.11;
1659.73;602;192.44;
1668.00;605;193.45;
1665.25;604;193.11;
1662.49;603;192.78;
1668.00;605;193.45;
1662.49;603;192.78;
1665.25;604;193.11;
1662.49;603;192.78;
1659.73;602;192.44;
1668.00;605;193.45;
1665.25;604;193.11;
1670.76;606;193.79;
1668.00;605;193.45;
1670.76;606;193.79;
1673.52;607;194.13;
1668.00;605;193.45;
1665.25;604;193.11;
1662.49;603;192.78;
1662.49;603;192.78;
1668.00;605;193.45;
1665.25;604;193.11;
1665.25;604;193.11;
1670.76;606;193.79;
1668.00;605;193.45;
1662.49;603;192.78;
1670.76;606;193.79;
1668.00;605;193.45;
1665.25;604;193.11;
1668.00;605;193.45;
1665.25;604;193.11;
1673.52;607;194.13;
1668.00;605;193.45;
1668.00;605;193.45;
1668.00;605;193.45;
1668.00;605;193.45;
1676.27;608;194.47;
1670.76;606;193.79;
1670.76;606;193.79;
1679.03;609;194.80;
1673.52;607;194.13;
1679.03;609;194.80;
1676.27;608;194.47;
1676.27;608;194.47;
1673.52;607;194.13;
1679.03;609;194.80;
1673.52;607;194.13;
1679.03;609;194.80;
1676.27;608;194.47;
1673.52;607;194.13;
1676.27;608;194.47;
1676.27;608;194.47;
1681.79;610;195.14;
1676.27;608;194.47;
1676.27;608;194.47;
1684.55;611;195.48;
1681.79;610;195.14;
1676.27;608;194.47;
1679.03;609;194.80;
1679.03;609;194.80;
1684.55;611;195.48;
1679.03;609;194.80;
1676.27;608;194.47;
1673.52;607;194.13;
1676.27;608;194.47;
1676.27;608;194.47;
1681.79;610;195.14;
1676.27;608;194.47;
1679.03;609;194.80;
1679.03;609;194.80;
1676.27;608;194.47;
1681.79;610;195.14;
1676.27;608;194.47;
1673.52;607;194.13;
1676.27;608;194.47;
1673.52;607;194.13;
1681.79;610;195.14;
1676.27;608;194.47;
1673.52;607;194.13;
1670.76;606;193.79;
1670.76;606;193.79;
1679.03;609;194.80;
1676.27;608;194.47;
1670.76;606;193.79;
1679.03;609;194.80;
1673.52;607;194.13;
1673.52;607;194.13;
1679.03;609;194.80;
1676.27;608;194.47;
1673.52;607;194.13;
1673.52;607;194.13;
1673.52;607;194.13;
1681.79;610;195.14;
1673.52;607;194.13;
1670.76;606;193.79;
1673.52;607;194.13;
1670.76;606;193.79;
1676.27;608;194.47;
1676.27;608;194.47;
1673.52;607;194.13;
1684.55;611;195.48;
1676.27;608;194.47;
1676.27;608;194.47;
1679.03;609;194.80;
1679.03;609;194.80;
1684.55;611;195.48;
1679.03;609;194.80;
1679.03;609;194.80;
1684.55;611;195.48;
1676.27;608;194.47;
1676.27;608;194.47;
1681.79;610;195.14;
1676.27;608;194.47;
1676.27;608;194.47;
1673.52;607;194.13;
1670.76;606;193.79;
1676.27;608;194.47;
1670.76;606;193.79;
1676.27;608;194.47;
1673.52;607;194.13;
1673.52;607;194.13;
1681.79;610;195.14;
1673.52;607;194.13;
1673.52;607;194.13;
1673.52;607;194.13;
1673.52;607;194.13;
1679.03;609;194.80;
1670.76;606;193.79;
1673.52;607;194.13;
1670.76;606;193.79;
1670.76;606;193.79;
1673.52;607;194.13;
1679.03;609;194.80;
1673.52;607;194.13;
1670.76;606;193.79;
1670.76;606;193.79;
1676.27;608;194.47;
1681.79;610;195.14;
1676.27;608;194.47;
1679.03;609;194.80;
1681.79;610;195.14;
1676.27;608;194.47;
1673.52;607;194.13;
1673.52;607;194.13;
1676.27;608;194.47;
1681.79;610;195.14;
1679.03;609;194.80;
1676.27;608;194.47;
1676.27;608;194.47;
1673.52;607;194.13;
1676.27;608;194.47;
1684.55;611;195.48;
1676.27;608;194.47;
1684.55;611;195.48;
1679.03;609;194.80;
1676.27;608;194.47;
1687.30;612;195.82;
1679.03;609;194.80;
1679.03;609;194.80;
1681.79;610;195.14;
1679.03;609;194.80;
1684.55;611;195.48;
1676.27;608;194.47;
1679.03;609;194.80;
1681.79;610;195.14;
1679.03;609;194.80;
1687.30;612;195.82;
1679.03;609;194.80;
1679.03;609;194.80;
1684.55;611;195.48;
1679.03;609;194.80;
1681.79;610;195.14;
1687.30;612;195.82;
1679.03;609;194.80;
1684.55;611;195.48;
1681.79;610;195.14;
1687.30;612;195.82;
1687.30;612;195.82;
1684.55;611;195.48;
1684.55;611;195.48;
1690.06;613;196.15;
1684.55;611;195.48;
1692.82;614;196.49;
1687.30;612;195.82;
1687.30;612;195.82;
1690.06;613;196.15;
1687.30;612;195.82;
1684.55;611;195.48;
1687.30;612;195.82;
1684.55;611;195.48;
1690.06;613;196.15;
1687.30;612;195.82;
1684.55;611;195.48;
1692.82;614;196.49;
1684.55;611;195.48;
1684.55;611;195.48;
1692.82;614;196.49;
1684.55;611;195.48;
1687.30;612;195.82;
1684.55;611;195.48;
1684.55;611;195.48;
1690.06;613;196.15;
1681.79;610;195.14;
1687.30;612;195.82;
1687.30;612;195.82;
1687.30;612;195.82;
1692.82;614;196.49;
1684.55;611;195.48;
1684.55;611;195.48;
1690.06;613;196.15;
1684.55;611;195.48;
1692.82;614;196.49;
1684.55;611;195.48;
1687.30;612;195.82;
1684.55;611;195.48;
1684.55;611;195.48;
1684.55;611;195.48;
1690.06;613;196.15;
1690.06;613;196.15;
1690.06;613;196.15;
1690.06;613;196.15;
1690.06;613;196.15;
1695.57;615;196.82;
1692.82;614;196.49;
1687.30;612;195.82;
1695.57;615;196.82;
1690.06;613;196.15;
1692.82;614;196.49;
1687.30;612;195.82;
1687.30;612;195.82;
1695.57;615;196.82;
1690.06;613;196.15;
1690.06;613;196.15;
1687.30;612;195.82;
1687.30;612;195.82;
1690.06;613;196.15;
1690.06;613;196.15;
1690.06;613;196.15;
1695.57;615;196.82;
1687.30;612;195.82;
1692.82;614;196.49;
1695.57;615;196.82;
1690.06;613;196.15;
1690.06;613;196.15;
1690.06;613;196.15;
1690.06;613;196.15;
1692.82;614;196.49;
1687.30;612;195.82;
1687.30;612;195.82;
1684.55;611;195.48;
1684.55;611;195.48;
1690.06;613;196.15;
1684.55;611;195.48;
1681.79;610;195.14;
1692.82;614;196.49;
1687.30;612;195.82;
1687.30;612;195.82;
1692.82;614;196.49;
1687.30;612;195.82;
1690.06;613;196.15;
1687.30;612;195.82;
1690.06;613;196.15;
1695.57;615;196.82;
1687.30;612;195.82;
1687.30;612;195.82;
1684.55;611;195.48;
1684.55;611;195.48;
1692.82;614;196.49;
1684.55;611;195.48;
1684.55;611;195.48;
1690.06;613;196.15;
1684.55;611;195.48;
1681.79;610;195.14;
1681.79;610;195.14;
1681.79;610;195.14;
1690.06;613;196.15;
1687.30;612;195.82;
1684.55;611;195.48;
1692.82;614;196.49;
1687.30;612;195.82;
1687.30;612;195.82;
1695.57;615;196.82;
1687.30;612;195.82;
1690.06;613;196.15;
1687.30;612;195.82;
1684.55;611;195.48;
1690.06;613;196.15;
1681.79;610;195.14;
1687.30;612;195.82;
1681.79;610;195.14;
1687.30;612;195.82;
1690.06;613;196.15;
1687.30;612;195.82;
