R;ADC;T
752.67;273;56.12;
749.91;272;55.58;
752.67;273;56.12;
752.67;273;56.12;
752.67;273;56.12;
755.43;274;56.65;
758.18;275;57.19;
755.43;274;56.65;
758.18;275;57.19;
758.18;275;57.19;
760.94;276;57.72;
769.21;279;59.32;
760.94;276;57.72;
763.70;277;58.26;
766.45;278;58.79;
769.21;279;59.32;
771.97;280;59.85;
769.21;279;59.32;
771.97;280;59.85;
774.73;281;60.38;
774.73;281;60.38;
774.73;281;60.38;
777.48;282;60.90;
777.48;282;60.90;
780.24;283;61.43;
780.24;283;61.43;
783.00;284;61.96;
785.75;285;62.48;
783.00;284;61.96;
785.75;285;62.48;
788.51;286;63.00;
785.75;285;62.48;
788.51;286;63.00;
788.51;286;63.00;
791.27;287;63.52;
796.78;289;64.56;
794.02;288;64.04;
796.78;289;64.56;
796.78;289;64.56;
796.78;289;64.56;
802.30;291;65.60;
799.54;290;65.08;
802.30;291;65.60;
805.05;292;66.12;
805.05;292;66.12;
807.81;293;66.63;
810.57;294;67.14;
807.81;293;66.63;
810.57;294;67.14;
810.57;294;67.14;
813.32;295;67.66;
818.84;297;68.68;
816.08;296;68.17;
818.84;297;68.68;
818.84;297;68.68;
818.84;297;68.68;
824.35;299;69.70;
821.59;298;69.19;
821.59;298;69.19;
827.11;300;70.20;
824.35;299;69.70;
824.35;299;69.70;
827.11;300;70.20;
827.11;300;70.20;
832.62;302;71.22;
832.62;302;71.22;
832.62;302;71.22;
835.38;303;71.72;
832.62;302;71.22;
838.14;304;72.22;
840.89;305;72.73;
835.38;303;71.72;
843.65;306;73.23;
838.14;304;72.22;
840.89;305;72.73;
846.41;307;73.73;
843.65;306;73.23;
846.41;307;73.73;
849.17;308;74.23;
849.17;308;74.23;
854.68;310;75.22;
851.92;309;74.72;
851.92;309;74.72;
854.68;310;75.22;
851.92;309;74.72;
857.44;311;75.72;
854.68;310;75.22;
854.68;310;75.22;
857.44;311;75.72;
860.19;312;76.21;
857.44;311;75.72;
865.71;314;77.20;
862.95;313;76.71;
865.71;314;77.20;
865.71;314;77.20;
868.46;315;77.69;
871.22;316;78.18;
868.46;315;77.69;
871.22;316;78.18;
873.98;317;78.67;
871.22;316;78.18;
879.49;319;79.65;
876.74;318;79.16;
876.74;318;79.16;
882.25;320;80.14;
879.49;319;79.65;
882.25;320;80.14;
882.25;320;80.14;
885.01;321;80.62;
885.01;321;80.62;
887.76;322;81.11;
887.76;322;81.11;
896.03;325;82.56;
890.52;323;81.59;
893.28;324;82.08;
896.03;325;82.56;
893.28;324;82.08;
896.03;325;82.56;
896.03;325;82.56;
898.79;326;83.04;
901.55;327;83.52;
898.79;326;83.04;
901.55;327;83.52;
901.55;327;83.52;
901.55;327;83.52;
909.82;330;84.96;
904.31;328;84.00;
904.31;328;84.00;
907.06;329;84.48;
909.82;330;84.96;
909.82;330;84.96;
915.33;332;85.91;
909.82;330;84.96;
915.33;332;85.91;
915.33;332;85.91;
918.09;333;86.39;
923.61;335;87.34;
918.09;333;86.39;
920.85;334;86.86;
920.85;334;86.86;
923.61;335;87.34;
929.12;337;88.28;
920.85;334;86.86;
926.36;336;87.81;
929.12;337;88.28;
926.36;336;87.81;
931.88;338;88.75;
929.12;337;88.28;
931.88;338;88.75;
940.15;341;90.16;
934.63;339;89.22;
934.63;339;89.22;
940.15;341;90.16;
940.15;341;90.16;
940.15;341;90.16;
945.66;343;91.10;
942.90;342;90.63;
948.42;344;91.56;
945.66;343;91.10;
948.42;344;91.56;
948.42;344;91.56;
948.42;344;91.56;
948.42;344;91.56;
951.18;345;92.03;
956.69;347;92.96;
959.45;348;93.42;
953.93;346;92.49;
956.69;347;92.96;
959.45;348;93.42;
959.45;348;93.42;
964.96;350;94.34;
962.20;349;93.88;
964.96;350;94.34;
964.96;350;94.34;
964.96;350;94.34;
967.72;351;94.80;
973.23;353;95.72;
970.47;352;95.26;
970.47;352;95.26;
973.23;353;95.72;
973.23;353;95.72;
978.75;355;96.64;
975.99;354;96.18;
978.75;355;96.64;
975.99;354;96.18;
978.75;355;96.64;
987.02;358;98.00;
984.26;357;97.55;
984.26;357;97.55;
989.77;359;98.46;
987.02;358;98.00;
987.02;358;98.00;
987.02;358;98.00;
989.77;359;98.46;
989.77;359;98.46;
989.77;359;98.46;
